category,headline,links,short_description,keywords,category_encoded,input_text
FOOD & DRINK,"['official', 'rich', 'len', 'thanksgiving', 'menu', 'plus', 'recipe', 'every', 'course']",https://www.huffingtonpost.com/entry/the-official-raichlen-tha_us_5b9da9fee4b03a1dcc8b0baf,"['thanksgive', 'distinctly', 'american', 'holiday', 'year', 'country', 'version', 'independence', 'day', 'nationally', 'sanction', 'holiday', 'dedicate', 'giving', 'thank']","['the', 'official', 'raichlen', 'tha']",2,"['official', 'rich', 'len', 'thanksgiving', 'menu', 'plus', 'recipe', 'every', 'course', 'thanksgive', 'distinctly', 'american', 'holiday', 'year', 'country', 'version', 'independence', 'day', 'nationally', 'sanction', 'holiday', 'dedicate', 'giving', 'thank', 'the', 'official', 'raichlen', 'tha']"
POLITICS,"['dakota', 'access', 'pipeline', 'shoot', 'victim', 'armed', 'instigator', 'protester', 'claim']",https://www.huffingtonpost.com/entry/dakota-access-pipeline-shooting_us_5813b711e4b064e1b4b28f41,"['stand', 'rock', 'sioux', 'tribe', 'member', 'say', 'man', 'link', 'pipeline', 'company']","['dakota', 'access', 'pipeline', 'shooting']",4,"['dakota', 'access', 'pipeline', 'shoot', 'victim', 'armed', 'instigator', 'protester', 'claim', 'stand', 'rock', 'sioux', 'tribe', 'member', 'say', 'man', 'link', 'pipeline', 'company', 'dakota', 'access', 'pipeline', 'shooting']"
WELLNESS,"['name', 'personal', 'genomic', 'come', 'age', 'part']",https://www.huffingtonpost.com/entry/personal-genomics_us_5b9c60bbe4b03a1dcc7e3227,"['revolutionary', 'biomedical', 'phenomenon', 'call', 'personal', 'genomic', 'poise', 'fundamentally', 'change', 'think', 'health', 'family', 'history']","['personal', 'genomics']",8,"['name', 'personal', 'genomic', 'come', 'age', 'part', 'revolutionary', 'biomedical', 'phenomenon', 'call', 'personal', 'genomic', 'poise', 'fundamentally', 'change', 'think', 'health', 'family', 'history', 'personal', 'genomics']"
ENTERTAINMENT,"['controversial', 'anti', 'vaccine', 'film', 'cut', 'tribe', 'get', 'nyx', 'debut']",https://www.huffingtonpost.com/entry/controversial-anti-vaccine-film-cut-from-tribeca-finds-studio-to-back-distribution_us_56fbde25e4b083f5c60619c2,"['documentary', 'premiere', 'friday', 'angelina', 'film', 'center', 'new', 'york', 'city']","['controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution']",1,"['controversial', 'anti', 'vaccine', 'film', 'cut', 'tribe', 'get', 'nyx', 'debut', 'documentary', 'premiere', 'friday', 'angelina', 'film', 'center', 'new', 'york', 'city', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution']"
WORLD NEWS,"['zimbabwe', 'swear', 'emerson', 'crocodile', 'manga', 'president']",https://www.huffingtonpost.com/entry/zimbabwe-president-emmerson-mnangagwa-sworn-in_us_5a17eb0de4b064948073a704,"['bring', 'curtain', 'robert', 'mugabe', 'years', 'power']","['zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in']",9,"['zimbabwe', 'swear', 'emerson', 'crocodile', 'manga', 'president', 'bring', 'curtain', 'robert', 'mugabe', 'years', 'power', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in']"
BUSINESS,"['cancer', 'rehab', 'fraud', 'investigation', 'prompt', 'california', 'assembly', 'hearing']",https://www.huffingtonpost.comhttp://www.cnn.com/2013/08/02/health/rehab-racket-siu-cir-part-four/index.html?hpt=hp_t1,"['california', 'lawmaker', 'schedule', 'hearing', 'examine', 'disclosure', 'significant', 'fraud', 'taxpayer', 'fund', 'drug']","['the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel']",0,"['cancer', 'rehab', 'fraud', 'investigation', 'prompt', 'california', 'assembly', 'hearing', 'california', 'lawmaker', 'schedule', 'hearing', 'examine', 'disclosure', 'significant', 'fraud', 'taxpayer', 'fund', 'drug', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel']"
ENTERTAINMENT,"['stranger', 'thing', 'get', 'something', 'right', 'energy', 'department', 'parallel', 'universe']",https://www.huffingtonpost.com/entry/us-energy-department-stranger-things_us_57f51696e4b04c71d6f1474d,"['there', 'be', 'actually', 'science', 'lot', 'fiction', 'behind', 'upside']","['us', 'energy', 'department', 'stranger', 'things']",1,"['stranger', 'thing', 'get', 'something', 'right', 'energy', 'department', 'parallel', 'universe', 'there', 'be', 'actually', 'science', 'lot', 'fiction', 'behind', 'upside', 'us', 'energy', 'department', 'stranger', 'things']"
SPORTS,"['bill', 'murray', 'good', 'interview', 'cub', 'president', 'epstein', 'world', 'series']",https://www.huffingtonpost.com/entry/bill-murray-theo-epstein_us_581b2d1ae4b01a82df64e7c8,"['champagne', 'everywhere']","['bill', 'murray', 'theo', 'epstein']",5,"['bill', 'murray', 'good', 'interview', 'cub', 'president', 'epstein', 'world', 'series', 'champagne', 'everywhere', 'bill', 'murray', 'theo', 'epstein']"
WELLNESS,"['work', 'stress', 'eat', 'evening']",https://www.huffingtonpost.comhttp://blogs.wsj.com/atwork/2013/09/04/what-to-do-when-work-stress-eats-up-the-evening/?mod=e2fb,"['feel', 'pinch', 'work', 'stress', 'evening', 'head', 'home', 'night', 'take', 'moment', 'saver', 'day', 'win']","['the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'the', 'ultimate', 'holiday', 'gift', 'candy', 'dessert', 'recipes', 'nic', 'cage', 'superman', 'footage']",8,"['work', 'stress', 'eat', 'evening', 'feel', 'pinch', 'work', 'stress', 'evening', 'head', 'home', 'night', 'take', 'moment', 'saver', 'day', 'win', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'the', 'official', 'raichlen', 'tha', 'dakota', 'access', 'pipeline', 'shooting', 'personal', 'genomics', 'controversial', 'anti', 'vaccine', 'film', 'cut', 'from', 'tribeca', 'finds', 'studio', 'to', 'back', 'distribution', 'zimbabwe', 'president', 'emmerson', 'mnangagwa', 'sworn', 'in', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'us', 'energy', 'department', 'stranger', 'things', 'bill', 'murray', 'theo', 'epstein', 'ukraine', 'is', 'no', 'greece', 'or', 'p', 'holiday', 'shopping', 'in', 'hard', 'my', 'wishes', 'for', 'obamas', 'parting', 'shots', 'do', 'nt', 'chase', 'anything', 'you', 'd', 'which', 'travel', 'rewards', 'prog', '24', 'childrens', 'books', 'to', 'hel', 'the', 'ultimate', 'holiday', 'gift', 'candy', 'dessert', 'recipes', 'nic', 'cage', 'superman', 'footage']"
WORLD NEWS,"['ukraine', 'greece', 'puerto', 'rico', 'need', 'help']",https://www.huffingtonpost.com/entry/ukraine-is-no-greece-or-p_b_7721414.html,"['greece', 'deadbeat', 'nation', 'puerto', 'rico', 'party', 'live', 'beyond', 'mean', 'last', 'year', 'war', 'tear', 'ukraine', 'make', 'interest', 'payment', 'lender', 'spend', 'try', 'defend', 'russia']","['ukraine', 'is', 'no', 'greece', 'or', 'p']",9,"['ukraine', 'greece', 'puerto', 'rico', 'need', 'help', 'greece', 'deadbeat', 'nation', 'puerto', 'rico', 'party', 'live', 'beyond', 'mean', 'last', 'year', 'war', 'tear', 'ukraine', 'make', 'interest', 'payment', 'lender', 'spend', 'try', 'defend', 'russia', 'ukraine', 'is', 'no', 'greece', 'or', 'p']"
BUSINESS,"['holiday', 'shopping', 'hard', 'time']",https://www.huffingtonpost.com/entry/holiday-shopping-in-hard-_b_6288024.html,"['holiday', 'season', 'full', 'swing', 'many', 'americans', 'mean', 'one', 'thing', 'shop', 'difficult', 'economy', 'public', 'afford', 'annual', 'spending', 'spree']","['holiday', 'shopping', 'in', 'hard']",0,"['holiday', 'shopping', 'hard', 'time', 'holiday', 'season', 'full', 'swing', 'many', 'americans', 'mean', 'one', 'thing', 'shop', 'difficult', 'economy', 'public', 'afford', 'annual', 'spending', 'spree', 'holiday', 'shopping', 'in', 'hard']"
